Module                  Size  Used by
video                  77824  5 dell_wmi,dell_laptop,xe,i915,nvidia_modeset
intel_lpss_pci         28672  0
i2c_hid_acpi           12288  0
psmouse               217088  0
vmd                    24576  0
intel_ish_ipc          36864  0
i2c_hid                40960  1 i2c_hid_acpi
intel_lpss             12288  1 intel_lpss_pci
thunderbolt           540672  1 typec
idma64                 20480  0
intel_ishtp            69632  2 intel_ishtp_hid,intel_ish_ipc
hid                   262144  7 i2c_hid,usbhid,hid_multitouch,hid_sensor_hub,snd_soc_sdca,intel_ishtp_hid,hid_generic
wmi                    28672  7 dell_wmi_sysman,video,dell_wmi,wmi_bmof,dell_smm_hwmon,dell_smbios,dell_wmi_descriptor
pinctrl_tigerlake      28672  1
